Name,Ticker,"Sub-Sector","Market Cap","Return on Equity","Debt to Equity","RSI – 14D","6M Return"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","127120.0152537","15.70051850042076","0.4883041989547667","71.7377860235003","21.634450024076493"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","114792.74098656","18.677259595542704","0.12190421269879813","72.8310502283105","28.57382269146975"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","83079.58087374001","17.715778940948056","0.46369233488481704","66.3781799108313","47.41180981595091"
JSW Infrastructure Ltd,JSWINFRA,"Ports","76684.92610001999","16.058709997590796","0.4807160787850648","62.0197585071351","24.924299772899328"
Welspun Corp Ltd,WELCORP,"Iron & Steel","42524.89542928","18.805015059284063","0.2504236720512532","69.5293146160198","117.52208808255207"
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","41835.94305264","25.392611615677048","0.05746958863199097","67.2636452241716","22.681809855284847"
Central Mine Planning & Design Institute Ltd,CMPDI,"Mining - Diversified","19063.8","36.709362425897076","0.0005632147317383745","60.0121728545344","66.77076826983136"
Ksb Ltd,KSB,"Industrial Machinery","16364.0376605","17.096858812486392","0.003097561266187736","63.7893196781273","25.224745288672832"
Happy Forgings Ltd,HAPPYFORGE,"Heavy Machinery","14933.54708082","15.166667923683958","0.15488788226227845","65.9245180559326","45.44535343321995"
Alivus Life Sciences Ltd,ALIVUS,"Pharmaceuticals","14239.003362479998","18.86047952214785","0.020093136176163668","71.4422158548233","30.69340393172984"
Corona Remedies Ltd,CORONA,"Pharmaceuticals","12493.782776639999","27.360331067100223","0.22072409822456687","68.4768773865083","45.88302506605727"
Procter & Gamble Health Ltd,PGHL,"Pharmaceuticals","11352.3173498","43.603050595238074","0.014191001191895114","73.6486486486486","25.34824046920821"
Tips Music Ltd,TIPSMUSIC,"Movies & TV Serials","9095.85678645","85.62615669339918","0.016464636823518185","68.6762360446571","37.4577417173766"
Bajaj Consumer Care Ltd,BAJAJCON,"FMCG - Personal Products","8754.692965025","15.872231513861438","0.005575611712795828","62.9682997118156","141.27069834413246"
India Tourism Development Corp Ltd,ITDC,"Tour & Travel Services","6147.950592","25.191523538860764","0.0017883501759963668","73.1534090909091","26.93465556932883"
Raghav Productivity Enhancers Ltd,RPEL,"Commodity Chemicals","5998.325109","25.010268814750567","0.022125884421905037","63.3177192699079","42.72171085267046"
Timex Group India Ltd,TIMEX,"Apparel & Accessories","5123.2125","31.994297642686256","0.10979699911738747","69.9226582641077","75.58569667077684"
Vadilal Industries Ltd,VADILALIND,"FMCG - Foods","4607.39903","24.281041792852793","0.3138063885454703","60.9309396264659","40.17669699090272"
Enviro Infra Engineers Ltd,EIEL,"Water Management","4291.53297","27.454491661346346","0.23557290775717207","71.5513392857143","32.12818849978384"
AFCOM Holdings Ltd,AFCOM,"Airlines","4285.7078203599995","29.923984920585866","0.11821028270635749","74.6035559827006","77.89373814041745"
Raymond Ltd,RAYMOND,"Apparel & Accessories","4204.053896269999","146.83601025408413","0.33836170949821026","63.6500754147813","56.284017812963896"
Venus Pipes and Tubes Ltd,VENUSPIPES,"Iron & Steel","3745.2655269","19.812709315471714","0.36038985474523966","72.2467709041468","63.30051485863971"
Steelcast Ltd,STEELCAS,"Iron & Steel","3165.536","24.09798998460237","0","61.4657210401891","50.84876543209876"
Shankara Buildpro Ltd,BUILDPRO,"Building Products - Others","3032.3782163","25.474633056796375","0.11140015021891658","69.9598902258813","61.992357017941565"
Aimtron Electronics Ltd,AIMTRON,"Electronic Equipments","2896.74020943","24.801625701567662","0.004129565105174862","64.9017649017649","70.19531010836958"
Yash Highvoltage Ltd,YASHHV,"Electrical Components & Equipments","2824.67013777","22.60125679885937","0.15363242071021957","71.5459827122006","159.92115637319316"
Talbros Automotive Components Ltd,TALBROAUTO,"Auto Parts","2519.1258015","16.144226084131883","0.14829919069296915","72.5936462778568","53.68103935228771"
PIX Transmissions Ltd,PIXTRANS,"Industrial Machinery","2479.7864","16.534909265304233","0.0347792386748579","67.2036823935558","40.49714373938551"
Ador Welding Ltd,ADOR,"Industrial Machinery","2305.5249312","15.445484861616153","0.005320587970060422","70.6083650190114","26.545037730442242"
AMIC Forging Ltd,AMIC,"Industrial Machinery","2103.216086025","37.61904761904763","0","61.4369026405314","38.467346168365424"
Magellanic Cloud Ltd,MCLOUD,"IT Services & Consulting","1879.7131799200001","22.210207612456777","0.49558769575376055","73.394495412844","23.839662447257393"
OBSC Perfection Ltd,OBSCP,"Auto Parts","1720.153908","25.003729673280606","0.2594480238484469","71.2286636936798","115.35350266947093"
iValue Infosolutions Ltd,IVALUE,"Software Services","1671.4164761","20.565441503358265","0.15198147306451962","67.5439519949468","22.748244734202604"
Jagsonpal Pharmaceuticals Ltd,JAGSNPHARM,"Pharmaceuticals","1532.45223519","25.91318591318594","0.038508022504688474","66.1618551822054","30.104521826616747"
Automobile Corp Of Goa Ltd,ACGL,"Trucks & Buses","1420.11019528","24.84662031191649","0.03084999513918144","73.357360687552","32.643194357545084"
Macpower Cnc Machines Ltd,MACPOWER,"Industrial Machinery","1372.2706272","19.42503722368573","0.0217056434673015","70.9627500829004","41.93915562913908"
Panorama Studios International Ltd,PANORAMA,"Movies & TV Serials","1350.877215625","24.59242722439264","0.3963941215090147","62.8787878787879","31.166202883885656"
TAAL Tech Ltd,TAALTECH,"Conglomerates","1243.91907272","26.632452500545956","0.019358949225642033","73.8508079392016","24.28216253107786"
Fermenta Biotech Ltd,FERMENTA,"Biotechnology","1151.55818352","23.884909969394258","0.32060472511227034","71.4581714581714","28.828406069138133"
Gujarat Kidney and Super Speciality Ltd,GKSL,"Hospitals & Diagnostic Centres","1045.06727875","49.56498813604006","0.3063029856247696","64.1535298149419","29.090377873003508"
Kamdhenu Ltd,KAMDHENU,"Iron & Steel","930.777666","21.989056038141317","0.0038882215337927542","70.5998033431662","46.17087206728642"
Tandhan Industries Ltd,TANDHANIN,"Plastic Products","769.48285","25.783972125435543","0.15384615384615383","64.2857142857143","950.9857239972806"
Influx Healthtech Ltd,INFLUX,"Pharmaceuticals","669.04656","45.341931104700414","0.006085753803596127","73.9892839746712","34.01344771620681"
Chembond Chemicals Ltd,CHEMBONDCH,"Specialty Chemicals","653.936452288","18.29169391759317","0","70.2140927042195","68.22113056112917"
TPL Plastech Ltd,TPLPLASTEH,"Plastic Products","644.382783","16.974275948911643","0.30989159891598916","71.2137486573577","25.60437889615327"
Magna Electro Castings Ltd,MAGNAELQ,"Iron & Steel","521.33173124","19.46314372265231","0.08530549110595513","66.3022882961668","49.67800729040096"
Divine Hira Jewellers Ltd,DIVINEHIRA,"Precious Metals, Jewellery & Watches","456.778971","20.886551465064006","0.4439327653695602","66.3056439908848","45.87500000000001"
Fluidomat Ltd,FLUIDOM,"Industrial Machinery","444.56321","31.421093584211647","0","64.7587178584008","27.870711652962864"
Taurian MPS Ltd,TAURIAN,"Industrial Machinery","327.656832","35.45437581638367","0.26559766763848397","72.9462989840348","51.6652960526316"
Agarwal Toughened Glass India Ltd,AGARWALTUF,"Building Products - Glass","275.98193448","27.419792137370095","0.3574612608787943","65.427927927928","28.129205921938095"
Patel Chem Specialities Ltd,PATELCHEM,"Specialty Chemicals","236.265","38.455935906773504","0.4194915254237288","61.6550116550117","20.222728423184012"
Srivari Spices and Foods Ltd,SSFL,"FMCG - Foods","234.82896","23.059222477897553","0.28388528508023214","74.884437596302","136.7170626349892"
SPEB Adhesives Ltd,SPEB,"Specialty Chemicals","202.18113","26.321659602944468","0","62.1951219512195","68.53932584269663"
Naapbooks Ltd,NBL,"Software Services","183.267097875","17.0927127050744","0.017972479640550404","68.1057744198597","34.04071026418362"
Master Components Ltd,MASTER,"Plastic Products","159.74","24.766622213754996","0.1359782977280434","69.3145710394916","25.207712807650115"
Marc Technocrats Ltd,MARC,"Business Support Services","159.715958175","21.70654071259879","0.00707683419988446","64.2168674698795","121.7548076923077"
Srivasavi Adhesive Tapes Ltd,SRIVASAVI,"Specialty Chemicals","113.60594049000001","18.245237456399256","0.03442340791738382","67.1895424836601","67.72823779193206"
Autofurnish Ltd,AFLTD,"Auto Parts","76.349104692","28.7866108786611","0.36233854520734193","66.5426125790845","25.11627906976745"
Khaitan (India) Ltd,KHAITANLTD,"Sugar","62.225","29.267268528238517","0.38517707192405987","60.119940029985","33.08950523214466"
Eforu Entertainment Ltd,EFORU,"Precious Metals, Jewellery & Watches","56.782563","40.76335877862596","0","60.072202166065","31.013447941217255"
